Group_name,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,exp_id
col0,Cd_col0,7.697571254,9.893682929,8.670939963,10.62704366,10.43042154,9.329745015,7.741135069,7.709760951,6.398194209,7.49977817,10.68931279,8.037204631,2
152-54,Li_152-54,11.04595732,12.609293,11.55338045,12.27614828,10.07390427,14.75677814,10.72728407,13.4438473,11.15260459,14.58171502,10.90788351,0,2
152-54,B_152-54,133.8903917,144.1520702,172.7527054,139.2659834,218.4997624,96.97311351,109.8470244,123.1027219,121.9816128,168.0700208,127.1506079,0,2
152-54,Na_152-54,1604.875371,1485.263953,1390.411733,1547.037658,1747.55883,1695.858314,1282.307964,1337.315664,1517.254389,1995.804333,1274.358152,0,2
152-54,Mg_152-54,26841.40488,25523.58481,24505.1092,23115.19013,23936.50438,23651.83608,22707.48941,24769.49969,24566.59132,22431.06743,23892.59485,0,2
152-54,P_152-54,17767.61685,17075.92034,17350.85693,16465.9802,18961.78203,16788.76307,16613.73598,16119.99343,18011.24358,17750.14132,17548.02843,0,2
152-54,K_152-54,66492.86345,63929.3563,63114.63967,63617.88644,70575.89913,74428.03579,63898.98454,67812.53303,65447.0594,62412.34804,74490.96583,0,2
152-54,Ca_152-54,70880.48778,69146.44124,67763.20296,60269.57663,62046.75779,55214.94488,63876.20416,68494.19289,67096.53814,53024.41825,64975.41259,0,2
152-54,Mn_152-54,291.7091676,267.0344864,228.3842919,224.8701165,264.2935642,251.8021667,230.7653167,226.5130478,235.3965779,206.2736795,243.1522024,0,2
152-54,Fe_152-54,146.0581334,151.2954634,139.0411733,128.8358501,127.9737258,136.5587565,178.8032548,139.361572,115.0644439,98.26902432,119.0092353,0,2
152-54,Co_152-54,2.960063255,2.620180586,2.657995574,2.790653258,1.729988067,3.129959491,2.091922906,2.114155442,2.374185196,2.813771178,1.861625947,0,2
152-54,Ni_152-54,2.358461157,2.347688226,2.323525777,2.10350897,2.303234218,2.207075271,3.050293772,2.585258147,2.394404612,1.984504047,2.293585394,0,2
152-54,Cu_152-54,2.369317135,3.40675647,2.169707463,2.107657318,5.981380663,1.817074705,2.672139354,4.544399086,3.000987114,1.579432262,5.211515535,0,2
152-54,Zn_152-54,104.8054181,93.5062148,108.8444085,96.09352852,110.3663568,112.8425059,97.24947059,94.77596761,110.3022391,113.1332465,119.7092897,0,2
152-54,As_152-54,0.214857892,0.219599145,0.215874744,0.209639752,0.684527652,0.69626227,0.217803277,0.31634067,0.375921524,0.621081096,0.233351442,0,2
152-54,Se_152-54,0.135156922,0,0.379443702,0.145814448,0,0,0,0.171626805,0,0,0.065831035,0,2
152-54,Mo_152-54,0.109600142,0.21325838,0.076984743,0.146051496,0.215095427,0.071324428,0.163517615,0.199069927,0.142227634,0.069670609,0.225261925,0,2
152-54,Cd_152-54,10.6479048,11.21271949,12.30546508,12.90136365,9.352770865,14.77434574,10.29673476,10.11381263,11.07545156,14.85118337,10.76268706,0,2
fpt2,Li_fpt2,9.884971493,8.355112397,10.53635201,11.30634932,12.28736713,11.06450399,12.06632344,13.14302156,11.80980933,9.18267247,11.813214,11.1147428,2
fpt2,B_fpt2,127.0463423,151.392863,106.6382257,95.62630145,148.4340429,96.76157473,109.1405455,116.1913376,159.6485023,124.3832172,144.7131277,96.24687757,2
fpt2,Na_fpt2,2380.330671,2232.886368,2448.527293,2349.847087,2205.915236,2027.896309,2020.902359,2731.558661,2966.62127,2343.561836,2492.78412,2509.310928,2
fpt2,Mg_fpt2,26189.17517,24127.84164,22605.99272,27598.06595,26939.52835,24876.43845,26974.91015,28316.53168,28465.39526,23264.2684,28038.1685,24607.74933,2
fpt2,P_fpt2,15528.9118,14949.25342,18002.48462,16913.14847,15920.98542,15606.7056,16146.53713,15467.66541,17590.7358,15730.48817,18104.21525,15934.36707,2
fpt2,K_fpt2,77113.85325,79560.43344,75826.77114,81899.15051,79843.98095,83040.67939,81367.91078,81995.78572,78035.42279,87753.65187,77130.08717,86539.67862,2
fpt2,Ca_fpt2,66915.07313,57066.87459,59109.91814,63024.31798,70318.60506,64410.17457,74513.38816,68186.82928,73784.74157,61910.70702,70396.90692,61737.78531,2
fpt2,Mn_fpt2,218.0969901,222.465161,209.7801161,216.8518844,174.8770748,241.5462831,187.4652846,223.9257108,187.1008185,235.142708,161.0184784,227.9007633,2
fpt2,Fe_fpt2,157.7349793,167.6723466,140.9460155,140.332293,123.3150014,153.3358825,142.0836176,139.8463251,122.3133522,152.1082026,104.4899129,129.154282,2
fpt2,Co_fpt2,3.139470638,2.813120103,4.905795424,2.885947982,2.771921163,3.940693164,2.904013054,3.511478716,2.642152604,2.896095233,2.258127764,3.78338079,2
fpt2,Ni_fpt2,2.448630193,2.751042694,2.766839483,2.560855658,2.475126632,2.668096378,3.046126217,2.604908469,2.620190751,2.723621666,2.29631595,2.516591327,2
fpt2,Cu_fpt2,2.903652691,3.919111478,0.79468787,3.78702414,3.795439352,2.621276262,3.959077722,2.237214363,3.151525904,3.044973067,5.233288976,3.099023264,2
fpt2,Zn_fpt2,87.08189173,92.67270233,97.13256418,93.91040758,90.25201716,90.74649028,89.69970121,85.91785619,89.33515037,89.83232352,105.4697414,94.49958176,2
fpt2,As_fpt2,0.21920455,0.285619422,0.289795206,0.573665058,0.277890889,0.336844729,0.30608989,0.803207348,0.426839239,0.250564204,0.550462609,0.259182212,2
fpt2,Se_fpt2,-0.763293317,1.596909655,0.301741018,0.387142757,0.301023945,0.267557459,0,0.002555474,0.918147144,0,0.005034811,0,2
fpt2,Mo_fpt2,0.200006846,0.229749755,0.122735936,0.227100872,0.315367175,0.234425724,0.36252152,0.253218675,0.2496921,0.256238416,0.289426255,0.20224949,2
fpt2,Cd_fpt2,5.957748925,5.396300418,7.589961146,6.729086489,6.42503154,7.507475673,6.044979864,7.100581743,5.844686682,5.39331023,5.811136535,7.379898,2
ler2,Li_ler2,14.03071622,12.90921919,8.599662239,13.87630241,11.32862656,14.37107568,11.87906397,13.35548498,12.07178673,10.70460341,9.985036589,14.0284323,2
ler2,B_ler2,112.7678029,120.6931888,142.6313751,105.1449752,115.6304303,80.29317618,117.3079631,92.52016063,133.5796824,161.4137473,202.1883316,117.1635582,2
ler2,Na_ler2,1403.071622,1849.722645,1413.54772,1957.641189,1658.045702,1697.462111,1575.167413,2054.808219,1413.654696,1975.56502,1692.197623,1867.705168,2
ler2,Mg_ler2,29514.53607,24925.13401,26118.13747,24867.12123,27507.87078,26010.69798,25950.37125,24244.27797,27963.95237,24439.87407,26878.67308,24460.30119,2
ler2,P_ler2,9049.268136,8719.42748,13822.12919,8790.293131,11004.04991,9634.35593,10841.19033,9036.852899,10087.1743,9885.504153,10917.09929,9811.033536,2
ler2,K_ler2,60212.43798,68891.24496,89246.15738,62866.53887,74111.66759,73237.60931,69650.4999,64510.52729,75415.27212,64196.90424,72770.16574,69576.37561,2
ler2,Ca_ler2,86794.66313,63793.58412,65512.94647,65307.19348,70956.06131,70514.40807,73533.70061,62935.22555,78544.85325,62558.70573,75383.71994,66640.40547,2
ler2,Mn_ler2,233.3667033,206.1396942,195.5523734,222.6113195,226.6176113,218.3099667,210.5400818,210.590947,197.6979299,224.6891648,228.5128052,209.6160345,2
ler2,Fe_ler2,168.2380763,158.6100756,182.3221238,142.620833,153.3624654,154.7686042,138.8773779,141.9308444,163.4252,133.6155662,147.9334655,129.0603539,2
ler2,Co_ler2,1.120281993,2.433768929,1.321284137,2.251700703,1.510183007,2.092326292,1.781330068,2.558520555,1.829659993,2.143992304,1.904745706,2.261614495,2
ler2,Ni_ler2,2.663008186,2.280353612,2.178929265,2.187535106,2.487519354,2.498330842,2.493014852,2.557367895,2.650220899,2.267881067,2.484765807,2.48823469,2
ler2,Cu_ler2,4.194857854,1.905068677,6.12189181,1.484862772,5.4231348,2.543304923,3.664329392,1.329016759,3.801296105,1.814304853,3.152009343,2.216045792,2
ler2,Zn_ler2,107.0685042,107.876213,148.9563628,117.5057098,129.6503382,121.1824555,133.7939152,116.1112647,116.2143237,122.9672759,139.4945194,116.0931524,2
ler2,As_ler2,0.122904723,0.199439911,0.09882068,0.23749144,0.199659718,0.219135179,0.18748799,0.241021166,0.371008026,0.202112742,0.250554829,0.270323334,2
ler2,Se_ler2,0,0,0.395921022,0,0.523830643,0,1.115537657,0,0,0,0,0.025429783,2
ler2,Mo_ler2,0.050858627,0,0,0,0.008542677,0,0.006124867,0,0.022563517,0,0.028733352,0,2
ler2,Cd_ler2,7.300323044,12.25380566,6.336593229,12.54968854,7.97917589,10.92168743,10.23046876,13.12111082,7.778154078,9.54762571,8.700301512,11.14445331,2
col0,Li_col0,12.82661501,11.77766751,11.53691634,11.29128909,11.80268498,10.67869301,12.5119301,11.28743321,11.17188077,0,10.54747371,0,3
col0,B_col0,104.2780719,29.5469941,61.60826048,108.4357739,0,181.6277701,130.5875743,113.4056617,161.7996525,0,104.1224969,0,3
col0,Na_col0,1923.580086,1633.533026,1711.677779,1786.369686,1812.44599,1491.317474,1987.239956,1727.153284,2042.110949,0,2061.200448,0,3
col0,Mg_col0,29791.3796,34049.07559,30600.35908,30569.75493,29590.79894,32586.01172,30257.77894,30661.03879,29394.66383,0,30797.27099,0,3
col0,P_col0,16445.43506,17924.95409,19041.76496,18297.97721,22068.88053,17947.80332,17368.27758,17869.27864,20520.06952,0,19897.24894,0,3
col0,K_col0,65616.87372,62917.9784,74441.50827,75126.02339,80952.3536,78240.42396,81156.11964,70866.08553,74926.88146,0,72779.50035,0,3
col0,Ca_col0,76498.06383,76090.73537,73270.90796,73469.4901,66588.8529,77090.56469,73648.0936,75349.17904,71039.16592,0,68626.19111,0,3
152-54,Ca_152-54,69710.49545,61840.26272,65291.42223,61312.06422,65211.82971,69782.03818,60524.5678,69648.82337,64424.04816,62441.01981,61162.53407,59686.49299,1
152-54,Se_152-54,0.564758347,0.368410076,0.026466585,1.357420585,0.974266474,0.856014792,0.505952854,0.255859007,0.425495708,0.16763881,0.93590496,0.289782249,1
152-54,As_152-54,0.357494816,0.382677743,0.391748533,0.542540475,0.416301196,0.573945007,0.423604198,0.388032618,0.492318524,0.523730104,0.409966261,0.372854154,1
152-54,Zn_152-54,136.6786738,124.4617522,137.7514388,125.2619731,125.643583,115.3119582,121.4219073,133.045168,127.3631449,133.9174327,107.5145753,155.4354398,1
152-54,Cu_152-54,4.113475644,1.314927927,2.909843488,1.457230922,2.254747537,2.476526948,1.366716584,1.509310465,4.037925714,3.965892163,1.336268407,2.651142177,1
152-54,Ni_152-54,5.003735107,2.779111275,2.597185079,2.750131253,3.012896619,2.970721054,2.978106953,4.641991764,2.62864966,2.756762957,3.82265838,3.239356891,1
152-54,Co_152-54,2.737150411,3.268405907,2.719354081,3.61099541,3.554638607,2.951437025,3.622663101,3.880326177,2.674626042,2.737401401,3.866979056,2.960461984,1
152-54,Mo_152-54,0.204680189,0.149255421,0.112341633,0.172101538,0.126338867,0.13583801,0.293337435,0.089959906,0.223827877,0.357543411,0.171299416,0.143593592,1
152-54,Mn_152-54,257.4598572,163.9753775,217.3800496,158.1637378,215.7987203,208.4963099,207.1255086,182.4965905,237.2209965,224.8199406,179.8311464,201.5202132,1
152-54,Cd_152-54,11.55747553,15.07767576,10.08651507,14.28357217,14.53432917,11.71096219,15.40563747,18.34818296,12.16803498,14.49212506,11.6969653,15.88955263,1
152-54,K_152-54,67802.7966,83221.20462,69969.51898,85409.13133,74858.89292,67624.84169,72859.92204,75408.68254,72905.40556,69249.83386,79888.02005,65622.33112,1
152-54,P_152-54,16692.36493,18128.5717,19035.47856,20896.007,18071.58568,18558.42683,20492.27668,17249.26246,17599.53053,16447.64227,20051.41289,18162.47156,1
152-54,Mg_152-54,27701.37704,26487.69764,25248.26029,24888.42049,24731.82542,26598.8865,24789.31766,27670.0603,25826.73278,25357.1852,26426.20358,23561.39971,1
152-54,Na_152-54,1431.569011,1478.985539,1668.969912,1428.357217,1573.948782,1634.23977,1651.039722,1292.178932,1798.21911,1672.193099,1958.235239,1916.470352,1
152-54,B_152-54,30.95241383,88.73090888,200.2494651,201.8307603,161.8562828,46.83731181,116.5419869,17.80630147,198.5837016,211.3959281,272.3874932,519.3112659,1
152-54,Fe_152-54,138.1491917,141.8132089,142.0929818,139.1641272,132.5095109,132.1773126,128.4367928,126.5274327,119.5671497,118.4604567,122.8421427,111.4386496,1
col0,Co_col0,2.211993343,3.406231584,3.050736603,2.181705341,1.879803375,1.785300188,1.642583243,1.648603223,3.743965963,2.272980903,2.841129732,2.564815793,1
col0,Cd_col0,10.84023228,11.26792314,15.01848465,11.82501867,10.40447597,9.958076834,6.851861624,6.61985056,11.11815102,10.77736701,11.51959671,11.70867762,1
col0,Mg_col0,30413.49991,30311.0423,29532.3619,27703.81007,29843.35178,29656.51097,26931.57656,28856.61298,30077.5753,29376.87509,25342.45843,27939.69027,1
col0,P_col0,16789.96475,18427.3086,17913.5627,18072.31267,14938.24939,15623.96855,21141.27096,17567.13316,17463.77401,18998.50743,17683.44795,16012.38589,1
col0,K_col0,70934.78396,79209.2219,71029.90605,80196.83428,73218.04683,70033.11714,88984.35155,82066.76586,79768.0143,75108.33885,74463.51071,65749.97391,1
col0,Ca_col0,61469.30048,67739.16247,67908.18231,70774.38794,78816.20735,69877.60319,65457.07535,77251.77849,71491.11476,70153.73156,68509.0472,68179.16014,1
col0,Na_col0,1718.43599,1617.090346,1556.585539,1322.475186,1282.05242,1782.189909,1298.159893,1062.628345,1606.976987,1631.95118,1924.731254,1939.300339,1
col0,Fe_col0,145.4754664,152.5893972,138.767035,128.3088754,133.7297425,141.4140219,121.5631399,134.3956852,167.1836902,140.4828474,132.0451359,121.1354199,1
col0,B_col0,0,106.7561679,258.8037275,102.6471003,65.85204614,284.5905352,362.7260403,0,254.1637398,235.9357685,350.0701075,250.5705594,1
col0,Mn_col0,132.5938962,151.3477519,140.6021033,144.789964,135.3792429,141.3826958,115.6583202,148.0749182,129.3195563,0,132.3263643,0,3
col0,Fe_col0,159.3022719,159.3514524,147.4089273,145.5958451,1726.830659,162.6800892,150.8115057,133.2308974,129.4255849,0,132.5195415,0,3
col0,Co_col0,0.947158139,0.955441739,1.269017441,1.875016603,2.086873705,1.351334607,1.872232621,1.216080624,1.630013101,0,1.68305613,0,3
col0,Ni_col0,2.542653857,2.392217129,2.737904046,2.835358201,85.3860047,9.918786015,2.470270765,2.586910995,2.578615694,0,2.570705245,0,3
col0,Cu_col0,4.360719372,3.665583636,4.8644946,2.599414135,3.433021908,6.169244931,1.714694271,2.929286506,3.140567305,0,1.685953787,0,3
col0,Zn_col0,136.7567758,129.393157,127.8122111,124.9563357,106.2547417,138.4830507,121.3001895,132.8324002,116.207352,0,125.1305145,0,3
col0,As_col0,0.165237467,0.475831107,0.235940995,0.145551074,0.525540539,0.204674949,0.100815864,0.121940143,0.597647908,0,0.637484675,0,3
col0,Se_col0,0.506552373,0.884853548,0.485582349,0.964371003,0.150438368,0.565430796,0,0.495796934,0,0,0,0,3
